"TEHINGU_ID";"KUUPÄEV";"SAAJA_MAKSJA_KONTO";"SAAJA_MAKSJA_NIMI";"SUMMA";"VIITENUMBER";"SELGITUS";"VALUUTA"
"100000000001084";"16.01.2024";"";"OLEREX TARTU VEERIKU";"47.06";"";"16/01/2024 08:28 kaart....700424 OLEREX VEERIKU/TARTU/EE #563638";"EUR"
"100000000001103";"16.01.2024";"";"R-KIOSK 4828 TARTU NES";"4.31";"";"16/01/2024 12:42 kaart....700424 R-KIOSK 4828 TARTU NES/TARTU/EE #188914";"EUR"
"100000000001118";"16.01.2024";"";"BOLT FOOD";"14.34";"";"16/01/2024 14:43 kaart....700424 BOLT FOOD/TARTU/EE #425498";"EUR"
"100000000001960";"16.01.2024";"";"Swedbank ATM TARTU";"20.00";"";"16/01/2024 11:09 kaart....700424 Sularaha väljavõtt Swedbank ATM TARTU";"EUR"
"100000000001145";"17.01.2024";"";"Veeriku Selver";"77.21";"";"17/01/2024 20:04 kaart....700424 VEERIKU SELVER/TARTU/EE #577538";"EUR"
"100000000001160";"18.01.2024";"";"ILLEGAARD TARTU";"15.25";"";"18/01/2024 20:49 kaart....700424 ILLEGAARD/TARTU/EE #545798";"EUR"
"100000000001190";"18.01.2024";"";"MAXIMA XX TARTU";"44.07";"";"18/01/2024 17:29 kaart....700424 MAXIMA XX/TARTU/EE #239816";"EUR"
"100000000001237";"19.01.2024";"";"SÜDAMEAPTEEK TARTU";"23.59";"";"19/01/2024 15:39 kaart....700424 SÜDAMEAPTEEK/TARTU/EE #954596";"EUR"
"100000000001286";"20.01.2024";"";"ZARA TARTU LOUNAKESKUS";"120.68";"";"20/01/2024 17:28 kaart....700424 ZARA LOUNAKESKUS/TARTU/EE #371782";"EUR"
"100000000001308";"20.01.2024";"";"NESTE TARTU";"50.20";"";"20/01/2024 08:15 kaart....700424 NESTE/TARTU/EE #384913";"EUR"
"100000000001330";"20.01.2024";"";"OLEREX TARTU VEERIKU";"46.59";"";"20/01/2024 08:26 kaart....700424 OLEREX VEERIKU/TARTU/EE #527398";"EUR"
"100000000001379";"20.01.2024";"";"WERNER KOHVIK TARTU";"10.17";"";"20/01/2024 17:44 kaart....700424 WERNER KOHVIK/TARTU/EE #120480";"EUR"
"100000000002019";"20.01.2024";"";"KAMIN JA KERIS OÜ";"43.98";"";"20/01/2024 13:16 kaart....700424 KAMIN JA KERIS/TARTU/EE #792509";"EUR"
"100000000001397";"21.01.2024";"";"FUDY";"12.04";"";"21/01/2024 19:31 kaart....700424 FUDY/TARTU/EE #330080";"EUR"
"100000000001427";"21.01.2024";"";"Wolt";"16.37";"";"21/01/2024 17:46 kaart....700424 Wolt/Tallinn/EE #273061";"EUR"
"100000000001429";"21.01.2024";"";"ETSY.COM";"38.31";"";"21/01/2024 18:36 kaart....700424 ETSY.COM/Brooklyn/US #795205";"EUR"
"100000000000211";"22.01.2024";"EE251010220061309019";"Elektrilevi OÜ";"57.38";"24238849696";"Elektriarve 01/2024 774079";"EUR"
"100000000000241";"22.01.2024";"EE382200221012345678";"AS Eesti Gaas";"113.28";"10122691669";"Gaasiarve 01/2024";"EUR"
"100000000000362";"22.01.2024";"EE112200221009876543";"Tallinna Vesi";"16.12";"43039117182";"Vesi ja kanal. 01/2024";"EUR"
"100000000001454";"22.01.2024";"";"VEERIKU APTEEK";"27.50";"";"22/01/2024 14:03 kaart....700424 VEERIKU APTEEK/TARTU/EE #372793";"EUR"
"100000000001481";"22.01.2024";"";"VEERIKU SELVER ISETEEN";"16.82";"";"22/01/2024 14:17 kaart....700424 VEERIKU SELVER ISETEEN/TARTU/EE #888539";"EUR"
"100000000000411";"23.01.2024";"";"MyFitness";"444.68";"";"23/01/2024 14:59 kaart....700424 MYFITNESS/TARTU/EE #665492";"EUR"
"100000000001531";"23.01.2024";"";"APOLLO RAAMATUPOOD";"51.09";"";"23/01/2024 14:41 kaart....700424 APOLLO RAAMATUPOOD/TARTU/EE #171951";"EUR"
"100000000001540";"23.01.2024";"";"KUUSAKOSKI TARTU";"14.14";"";"23/01/2024 16:09 kaart....700424 KUUSAKOSKI/TARTU/EE #350132";"EUR"
"100000000001579";"24.01.2024";"";"PARKLAHALDUSE OU";"2.79";"";"24/01/2024 19:23 kaart....700424 PARKLAHALDUSE OU/TARTU/EE #275939";"EUR"
"100000000001599";"24.01.2024";"";"NESTE TARTU";"34.65";"";"24/01/2024 08:37 kaart....700424 NESTE/TARTU/EE #126925";"EUR"
"100000000001649";"25.01.2024";"";"STARBUCKS TARTU";"5.51";"";"25/01/2024 11:06 kaart....700424 STARBUCKS/TARTU/EE #831059";"EUR"
"100000000001672";"25.01.2024";"";"KFC TARTU LOUNAKESKUS";"19.34";"";"25/01/2024 20:50 kaart....700424 KFC LOUNAKESKUS/TARTU/EE #143064";"EUR"
"100000000002013";"25.01.2024";"";"OTEPÄÄ SUUSAKESKUS";"53.09";"";"25/01/2024 15:36 kaart....700424 OTEPÄÄ SUUSAKESKUS/OTEPÄÄ/EE #751194";"EUR"
"100000000001696";"26.01.2024";"";"APOLLO KINO LOUNAKESKU";"23.98";"";"26/01/2024 21:06 kaart....700424 APOLLO KINO LOUNAKESKU/TARTU/EE #554582";"EUR"
"100000000001731";"26.01.2024";"";"BENU APTEEK TARTU";"16.54";"";"26/01/2024 14:39 kaart....700424 BENU APTEEK/TARTU/EE #947458";"EUR"
"100000000001747";"27.01.2024";"";"BOLT FOOD";"19.82";"";"27/01/2024 19:17 kaart....700424 BOLT FOOD/TARTU/EE #572700";"EUR"
"100000000001761";"27.01.2024";"";"APARAAT TARTU";"33.32";"";"27/01/2024 21:11 kaart....700424 APARAAT/TARTU/EE #611233";"EUR"
"100000000001767";"27.01.2024";"";"MCDONALDS LOUNAKESKUS";"9.93";"";"27/01/2024 18:33 kaart....700424 MCDONALDS LOUNAKESKUS/TARTU/EE #300337";"EUR"
"100000000001769";"28.01.2024";"";"APOLLO RAAMATUPOOD";"51.62";"";"28/01/2024 17:28 kaart....700424 APOLLO RAAMATUPOOD/TARTU/EE #931450";"EUR"
"100000000000321";"29.01.2024";"EE547700771000456789";"AS Pensionikeskus";"50.00";"335146011153518";"III samba sissemakse 01/2024";"EUR"
"100000000001803";"29.01.2024";"";"SUBWAY TARTU";"9.13";"";"29/01/2024 16:30 kaart....700424 SUBWAY/TARTU/EE #680358";"EUR"
"100000000001818";"30.01.2024";"";"STARBUCKS TARTU";"7.91";"";"30/01/2024 12:19 kaart....700424 STARBUCKS/TARTU/EE #363615";"EUR"
"100000000001866";"31.01.2024";"";"ILLEGAARD TARTU";"22.77";"";"31/01/2024 20:12 kaart....700424 ILLEGAARD/TARTU/EE #326895";"EUR"
"100000000002009";"31.01.2024";"";"Swedbank ATM TARTU";"60.00";"";"31/01/2024 10:35 kaart....700424 Sularaha väljavõtt Swedbank ATM TARTU";"EUR"
"100000000002030";"01.02.2024";"";"Swedbank AS";"1.45";"";"Igapäevane pakett - kuutasu";"EUR"
"100000000002046";"01.02.2024";"";"Swedbank AS";"0.50";"";"Kaardi hooldustasu";"EUR"
"100000000002391";"01.02.2024";"";"KOLM TILLI TARTU";"27.94";"";"01/02/2024 10:12 kaart....700424 KOLM TILLI/TARTU/EE #728492";"EUR"
"100000000002424";"01.02.2024";"";"R-KIOSK 4828 TARTU NES";"1.77";"";"01/02/2024 16:21 kaart....700424 R-KIOSK 4828 TARTU NES/TARTU/EE #925981";"EUR"
"100000000002455";"02.02.2024";"";"SPORTLAND TARTU";"56.32";"";"02/02/2024 14:28 kaart....700424 SPORTLAND/TARTU/EE #664742";"EUR"
"100000000002492";"02.02.2024";"";"BURGER KING TARTU";"14.37";"";"02/02/2024 18:44 kaart....700424 BURGER KING/TARTU/EE #350405";"EUR"
"100000000002517";"03.02.2024";"";"CHOPSTICKS TARTU";"9.09";"";"03/02/2024 22:58 kaart....700424 CHOPSTICKS/TARTU/EE #950823";"EUR"
"100000000002550";"03.02.2024";"";"POLPO TARTU";"45.66";"";"03/02/2024 15:02 kaart....700424 POLPO/TARTU/EE #232378";"EUR"
"100000000002551";"03.02.2024";"";"TARTU UISUPARK";"10.81";"";"03/02/2024 11:33 kaart....700424 TARTU UISUPARK/TARTU/EE #579123";"EUR"
"100000000002577";"04.02.2024";"";"POLPO TARTU";"20.60";"";"04/02/2024 10:39 kaart....700424 POLPO/TARTU/EE #826353";"EUR"
"100000000002609";"05.02.2024";"";"ZALANDO";"138.71";"";"05/02/2024 22:45 kaart....700424 ZALANDO/Berlin/DE #896290";"EUR"
"100000000002260";"06.02.2024";"EE862200221015412304";"IF P&C Insurance AS";"35.00";"071545168087";"Kindlustusmakse 02/2024 poliis IFKA62488";"EUR"
"100000000002650";"06.02.2024";"";"CIRCLE K TARTU LOUNAKE";"59.53";"";"06/02/2024 08:06 kaart....700424 CIRCLE K LOUNAKE/TARTU/EE #897305";"EUR"
"100000000003660";"06.02.2024";"";"KAMIN JA KERIS OÜ";"126.99";"";"06/02/2024 16:59 kaart....700424 KAMIN JA KERIS/TARTU/EE #691912";"EUR"
"100000000002678";"07.02.2024";"";"STARBUCKS TARTU";"13.29";"";"07/02/2024 10:22 kaart....700424 STARBUCKS/TARTU/EE #493049";"EUR"
"100000000002718";"08.02.2024";"";"SUBWAY TARTU";"13.86";"";"08/02/2024 12:39 kaart....700424 SUBWAY/TARTU/EE #501126";"EUR"
"100000000002719";"08.02.2024";"";"APARAAT TARTU";"30.25";"";"08/02/2024 21:16 kaart....700424 APARAAT/TARTU/EE #799233";"EUR"
"100000000002154";"09.02.2024";"EE062200221034567811";"KÜ Veeriku 14";"215.58";"71746488771";"Korteriühistu kulud 02/2024";"EUR"
"100000000002747";"09.02.2024";"";"TEMU";"11.14";"";"09/02/2024 22:19 kaart....700424 TEMU/Dublin/IE #769975";"EUR"
"100000000002772";"09.02.2024";"";"MOKU TARTU";"15.65";"";"09/02/2024 01:06 kaart....700424 MOKU/TARTU/EE #348728";"EUR"
"100000000002816";"09.02.2024";"";"PARKLAHALDUSE OU";"8.45";"";"09/02/2024 08:00 kaart....700424 PARKLAHALDUSE OU/TARTU/EE #693419";"EUR"
"100000000002831";"09.02.2024";"";"KAUBAMAJA TARTU";"134.05";"";"09/02/2024 14:49 kaart....700424 KAUBAMAJA/TARTU/EE #937665";"EUR"
"100000000002875";"09.02.2024";"";"CIRCLE K TARTU LOUNAKE";"60.74";"";"09/02/2024 18:49 kaart....700424 CIRCLE K LOUNAKE/TARTU/EE #791201";"EUR"
"100000000003618";"09.02.2024";"";"Swedbank ATM TARTU";"60.00";"";"09/02/2024 11:38 kaart....700424 Sularaha väljavõtt Swedbank ATM TARTU";"EUR"
"100000000002894";"10.02.2024";"";"TEMU";"18.54";"";"10/02/2024 22:08 kaart....700424 TEMU/Dublin/IE #194511";"EUR"
"100000000002912";"10.02.2024";"";"SUBWAY TARTU";"8.67";"";"10/02/2024 16:33 kaart....700424 SUBWAY/TARTU/EE #626169";"EUR"
"100000000002920";"11.02.2024";"";"CHOPSTICKS TARTU";"16.06";"";"11/02/2024 22:55 kaart....700424 CHOPSTICKS/TARTU/EE #455168";"EUR"
"100000000002946";"11.02.2024";"";"Wolt";"26.27";"";"11/02/2024 20:05 kaart....700424 Wolt/Tallinn/EE #929090";"EUR"
"100000000002051";"12.02.2024";"EE172200221013264589";"Swedbank AS";"86.74";"06797403447";"Lep. 2022770487/põhiosa/L192867825";"EUR"
"100000000002095";"12.02.2024";"EE172200221013264589";"Swedbank AS";"50.51";"06797403447";"Lep. 2022770487/intress/L192867825";"EUR"
"100000000002325";"12.02.2024";"EE021010052087654321";"Starman TV pakett";"12.00";"3482477109";"TV ja internet 02/2024";"EUR"
"100000000002987";"12.02.2024";"";"HESBURGER TARTU";"10.07";"";"12/02/2024 15:37 kaart....700424 HESBURGER/TARTU/EE #499534";"EUR"
"100000000002115";"13.02.2024";"EE021010052037412007";"Telia Eesti AS";"28.00";"936183242102";"Telia e-arve 02/2024 (mobiil+internet)";"EUR"
"100000000003002";"13.02.2024";"";"VEERIKU SELVER ISETEEN";"2.94";"";"13/02/2024 16:20 kaart....700424 VEERIKU SELVER ISETEEN/TARTU/EE #739717";"EUR"
"100000000003011";"13.02.2024";"";"PARKLAHALDUSE OU";"4.59";"";"13/02/2024 17:26 kaart....700424 PARKLAHALDUSE OU/TARTU/EE #222343";"EUR"
"100000000003570";"13.02.2024";"EE2177373946353719480";"Mart Tamm";"47.11";"";"Reisi raha";"EUR"
"100000000003054";"14.02.2024";"";"TARTU UISUPARK";"20.22";"";"14/02/2024 15:29 kaart....700424 TARTU UISUPARK/TARTU/EE #489033";"EUR"
"100000000002188";"15.02.2024";"EE251010220061309019";"Elektrilevi OÜ";"103.17";"01399049027";"Elektriarve 02/2024 733039";"EUR"
"100000000003081";"15.02.2024";"";"TARTU LINNATRANSPORT";"20.59";"";"15/02/2024 20:31 kaart....700424 TARTU LINNATRANSPORT/TARTU/EE #745558";"EUR"
"100000000003088";"15.02.2024";"";"TARTU UISUPARK";"24.97";"";"15/02/2024 14:54 kaart....700424 TARTU UISUPARK/TARTU/EE #480303";"EUR"
"100000000003101";"15.02.2024";"";"TARTU UISUPARK";"30.04";"";"15/02/2024 10:25 kaart....700424 TARTU UISUPARK/TARTU/EE #389282";"EUR"
"100000000003117";"16.02.2024";"";"KAMIN JA KERIS OÜ";"42.79";"";"16/02/2024 14:50 kaart....700424 KAMIN JA KERIS/TARTU/EE #449709";"EUR"
"100000000003127";"17.02.2024";"";"VEERIKU APTEEK";"24.28";"";"17/02/2024 14:21 kaart....700424 VEERIKU APTEEK/TARTU/EE #911984";"EUR"
"100000000003139";"17.02.2024";"";"RESERVED TARTU";"37.69";"";"17/02/2024 12:34 kaart....700424 RESERVED/TARTU/EE #362829";"EUR"
"100000000003151";"17.02.2024";"";"H&M TARTU LOUNAKESKUS";"21.61";"";"17/02/2024 16:20 kaart....700424 H&M LOUNAKESKUS/TARTU/EE #116547";"EUR"
"100000000003175";"18.02.2024";"";"MAXIMA TARTU ANNELINN";"39.64";"";"18/02/2024 15:28 kaart....700424 MAXIMA ANNELINN/TARTU/EE #915809";"EUR"
"100000000003179";"18.02.2024";"";"OLEREX TARTU VEERIKU";"61.03";"";"18/02/2024 08:41 kaart....700424 OLEREX VEERIKU/TARTU/EE #132663";"EUR"
"100000000003184";"19.02.2024";"";"WERNER KOHVIK TARTU";"14.32";"";"19/02/2024 10:38 kaart....700424 WERNER KOHVIK/TARTU/EE #255539";"EUR"
"100000000003203";"19.02.2024";"";"RIMI TARTU LOUNAKESKUS";"56.38";"";"19/02/2024 14:38 kaart....700424 RIMI LOUNAKESKUS/TARTU/EE #656329";"EUR"
"100000000003575";"19.02.2024";"EE5222289299734889675";"Toomas Kukk";"24.27";"";"Kontsert";"EUR"
"100000000003230";"20.02.2024";"";"Wolt";"27.20";"";"20/02/2024 20:28 kaart....700424 Wolt/Tallinn/EE #339592";"EUR"
"100000000003254";"20.02.2024";"";"SUBWAY TARTU";"10.99";"";"20/02/2024 19:42 kaart....700424 SUBWAY/TARTU/EE #367271";"EUR"
"100000000003278";"21.02.2024";"";"MOKU TARTU";"10.59";"";"21/02/2024 20:47 kaart....700424 MOKU/TARTU/EE #874683";"EUR"
"100000000003598";"21.02.2024";"";"Swedbank ATM TARTU";"60.00";"";"21/02/2024 21:22 kaart....700424 Sularaha väljavõtt Swedbank ATM TARTU";"EUR"
"100000000002358";"22.02.2024";"EE112200221009876543";"Tallinna Vesi";"18.11";"8613171274";"Vesi ja kanal. 02/2024";"EUR"
"100000000003327";"22.02.2024";"";"PARKLAHALDUSE OU";"5.30";"";"22/02/2024 08:22 kaart....700424 PARKLAHALDUSE OU/TARTU/EE #797660";"EUR"
"100000000003360";"23.02.2024";"";"SHEIN";"76.12";"";"23/02/2024 11:06 kaart....700424 SHEIN/Singapore/SG #705991";"EUR"
"100000000003397";"23.02.2024";"";"KFC TARTU LOUNAKESKUS";"11.08";"";"23/02/2024 18:48 kaart....700424 KFC LOUNAKESKUS/TARTU/EE #392099";"EUR"
"100000000003439";"23.02.2024";"";"SUBWAY TARTU";"12.56";"";"23/02/2024 20:39 kaart....700424 SUBWAY/TARTU/EE #807764";"EUR"
"100000000003462";"24.02.2024";"";"TARTU LINNATRANSPORT";"16.56";"";"24/02/2024 08:58 kaart....700424 TARTU LINNATRANSPORT/TARTU/EE #456331";"EUR"
"100000000003542";"24.02.2024";"EE9117425964041944519";"Toomas Kukk";"50.00";"16060715969";"Laen tagasi";"EUR"
"100000000003608";"24.02.2024";"";"Swedbank ATM TARTU";"50.00";"";"24/02/2024 12:06 kaart....700424 Sularaha väljavõtt Swedbank ATM TARTU";"EUR"
"100000000003476";"25.02.2024";"";"Veeriku Selver";"52.97";"";"25/02/2024 17:47 kaart....700424 VEERIKU SELVER/TARTU/EE #656251";"EUR"
"100000000002233";"26.02.2024";"EE382200221012345678";"AS Eesti Gaas";"107.45";"671756551256";"Gaasiarve 02/2024";"EUR"
"100000000002309";"26.02.2024";"EE547700771000456789";"AS Pensionikeskus";"50.00";"397627476603517";"III samba sissemakse 02/2024";"EUR"
"100000000003480";"26.02.2024";"";"CREPP TARTU";"15.74";"";"26/02/2024 17:38 kaart....700424 CREPP/TARTU/EE #189083";"EUR"
"100000000003507";"27.02.2024";"";"RIMI TARTU LOUNAKESKUS";"63.89";"";"27/02/2024 18:38 kaart....700424 RIMI LOUNAKESKUS/TARTU/EE #563516";"EUR"
"100000000003533";"28.02.2024";"";"LIDL TARTU RINGTEE";"32.43";"";"28/02/2024 18:02 kaart....700424 LIDL TARTU RINGTEE/TARTU/EE #331230";"EUR"
"100000000003534";"29.02.2024";"";"KVARTALI MAKSIMARKET";"11.57";"";"29/02/2024 18:20 kaart....700424 KVARTALI MAKSIMARKET/TARTU/EE #225812";"EUR"
"100000000003701";"01.03.2024";"";"Swedbank AS";"1.45";"";"Igapäevane pakett - kuutasu";"EUR"
"100000000003741";"01.03.2024";"";"Swedbank AS";"0.50";"";"Kaardi hooldustasu";"EUR"
"100000000004011";"01.03.2024";"";"Wolt";"17.45";"";"01/03/2024 19:51 kaart....700424 Wolt/Tallinn/EE #734035";"EUR"
"100000000004019";"01.03.2024";"";"Amazon.de";"74.24";"";"01/03/2024 22:54 kaart....700424 Amazon.de/Berlin/DE #640970";"EUR"
"100000000004025";"01.03.2024";"";"CHOPSTICKS TARTU";"12.74";"";"01/03/2024 13:53 kaart....700424 CHOPSTICKS/TARTU/EE #558723";"EUR"
"100000000004050";"02.03.2024";"";"TIGER TARTU";"21.01";"";"02/03/2024 16:23 kaart....700424 TIGER/TARTU/EE #347231";"EUR"
"100000000004059";"02.03.2024";"";"BAUHOF TARTU";"16.15";"";"02/03/2024 15:50 kaart....700424 BAUHOF/TARTU/EE #253143";"EUR"
"100000000006081";"02.03.2024";"";"Swedbank ATM TARTU";"150.00";"";"02/03/2024 18:49 kaart....700424 Sularaha väljavõtt Swedbank ATM TARTU";"EUR"
"100000000004065";"03.03.2024";"";"CHOPSTICKS TARTU";"19.47";"";"03/03/2024 19:39 kaart....700424 CHOPSTICKS/TARTU/EE #105506";"EUR"
"100000000004115";"04.03.2024";"";"CHOPSTICKS TARTU";"17.13";"";"04/03/2024 19:27 kaart....700424 CHOPSTICKS/TARTU/EE #216587";"EUR"
"100000000004123";"05.03.2024";"";"Veeriku Selver";"21.89";"";"05/03/2024 17:29 kaart....700424 VEERIKU SELVER/TARTU/EE #165858";"EUR"
"100000000004133";"05.03.2024";"";"APOLLO RAAMATUPOOD";"38.96";"";"05/03/2024 19:15 kaart....700424 APOLLO RAAMATUPOOD/TARTU/EE #853448";"EUR"
"100000000004168";"06.03.2024";"";"POLPO TARTU";"23.85";"";"06/03/2024 10:04 kaart....700424 POLPO/TARTU/EE #651613";"EUR"
"100000000004192";"06.03.2024";"";"FUDY";"16.43";"";"06/03/2024 19:40 kaart....700424 FUDY/TARTU/EE #505674";"EUR"
"100000000003891";"07.03.2024";"EE862200221015412304";"IF P&C Insurance AS";"35.00";"62914865281";"Kindlustusmakse 03/2024 poliis IFKA55851";"EUR"
"100000000004214";"07.03.2024";"";"H&M TARTU LOUNAKESKUS";"17.12";"";"07/03/2024 16:47 kaart....700424 H&M LOUNAKESKUS/TARTU/EE #893435";"EUR"
"100000000004258";"07.03.2024";"";"RESERVED TARTU";"60.27";"";"07/03/2024 12:53 kaart....700424 RESERVED/TARTU/EE #916990";"EUR"
"100000000004288";"07.03.2024";"";"BOLT FOOD";"20.66";"";"07/03/2024 12:45 kaart....700424 BOLT FOOD/TARTU/EE #913894";"EUR"
"100000000004321";"07.03.2024";"";"VEERIKU SELVER ISETEEN";"28.60";"";"07/03/2024 13:59 kaart....700424 VEERIKU SELVER ISETEEN/TARTU/EE #425138";"EUR"
